bank_txn_id,narration_text,value_date,amount,utr_reference
BNK_4GROABEAWQW29P,RTGS/UTR81528595579/RAZORPAY/KOTAK/6342,2025-05-12,58607,UTR81528595579
BNK_2NXXMS3RAG0KXX,RTGS/UTR53349764708/RAZORPAY/SBI,2025-05-13,58607,UTR53349764708
BNK_EH3RFWTEVTX3NF,IMPS/UTR42419107231/RAZORPAY/KOTAK,2025-05-14,52866,UTR42419107231
BNK_L8XCGMIURPV2WJ,NACH/UTR53874535080/RAZORPAY/INDUSIND/9932,2025-05-15,52968,UTR53874535080
BNK_L6EJA1V2TG2AHN,IMPS/UTR78019142319/RAZORPAY/HDFC/7090,2025-05-14,9227,UTR78019142319
BNK_6TO8WYAQTFLVM8,UPI/UTR54725808828/RAZORPAY/KOTAK,2025-05-15,9227,UTR54725808828
BNK_F2IBNAJFH71UZN,NEFT/UTR55407661015/RAZORPAY/SBI,2025-05-16,95888,UTR55407661015
BNK_BWTB5Q787XJJW8,NEFT/UTR43196638332/RAZORPAY/YES/5612,2025-05-17,95888,UTR43196638332
BNK_VGFRI7FZ5XBIGU,RTGS/UTR83542962716/RAZORPAY/HDFC/4094,2025-05-16,93860,UTR83542962716
BNK_I2SKHKXVS6AYLL,NEFT/UTR36779342121/RAZORPAY/YES,2025-05-17,93829,UTR36779342121
BNK_T67K37FOQSR41S,IMPS/UTR86616387674/RAZORPAY/AXIS,2025-05-18,93418,UTR86616387674
BNK_XXCX9KNBZ9H0UN,RTGS/UTR47400864965/RAZORPAY/FEDERAL,2025-05-19,93418,UTR47400864965
BNK_KS9URXIJAM31BX,UPI/UTR70402371231/RAZORPAY/HDFC/5111,2025-05-18,78654,UTR70402371231
BNK_JX3BID6V1LK4AG,RTGS/UTR66887487812/RAZORPAY/SBI/2578,2025-05-19,78654,UTR66887487812
BNK_STPHAFARCIODEW,NACH/UTR12487952241/RAZORPAY/HDFC,2025-05-19,77187,UTR12487952241
BNK_MD5TFU2SNX1SE3,UPI/UTR31391926529/RAZORPAY/HDFC,2025-05-20,77187,UTR31391926529
BNK_BUDU7XX9IGD40C,RTGS/UTR93897096668/RAZORPAY/KOTAK,2025-05-21,54674,UTR93897096668
BNK_U2AQHKNQJGE0UT,NEFT/UTR87470363008/RAZORPAY/FEDERAL/2882,2025-05-22,54674,UTR87470363008
BNK_6IAQIIJNN0DYK3,IMPS/UTR70398695337/RAZORPAY/YES/5271,2025-05-21,59378,UTR70398695337
BNK_ZVSQ3HEYKUKPXP,NACH/UTR67382895546/RAZORPAY/AXIS/9656,2025-05-22,59183,UTR67382895546
